book_id,isbn,title,author,description,year,pages,stars,date,clicks,views,event
11,9782033005931,Статистический анализ и визуализация данных с помощью R,Сергей Мастицкий,"Сьогодні R є безумовним лідером серед вільно розповсюджуваних систем статистичного аналізу. Провідні університети світу, аналітики найбільших компаній і дослідницьких центрів регулярно використовують R під час проведення науково-технічних розрахунків і створення великих інформаційних проектів. Широке викладання статистики на базі цієї системи та всебічна підтримка науковим співтовариством зумовили те, що наведення скриптів коду мовою R поступово стає загальновизнаним стандартом як у журнальних публікаціях, так і під час неформального спілкування вчених усього світу. Ця книга доповнює невелику (поки що) колекцію праць з R російською мовою, узагальнюючи та значно розширюючи сукупність методичних повідомлень, опублікованих раніше одним з авторів у блозі ""R: Анализ и визуализация данных"" (http://r-analytics.blogspot.com).
Книга адресована студентам, аспірантам, а також молодим і досвідченим вченим, які бажають освоїти класичні та сучасні методи аналізу даних з використанням R.

У цій книзі читач знайде:

- детальний опис мови R і базових графічних можливостей системи;

- доступно викладені описи поширених процедур обробки даних і побудови статистичних моделей, ілюстровані кількома десятками прикладів;

- численні фрагменти коду R, які можна легко модифікувати для власних цілей;

- рекомендації щодо інтерпретації та представлення одержуваних результатів аналізу.",2015,496,4,2003-10-01T16:25:13.000Z,0,0,0
12,9780712542111,Computer Coding for Kid,Джон Вудкок,"Програмування - одна з ключових навичок, якої потрібно навчати дитину вже з молодших класів. Комп'ютерний код - та сама іноземна мова, тільки він дає змогу розмовляти з комп'ютером, ставити йому завдання і контролювати їх виконання. І знання цієї мови сьогодні так само необхідне, як знання англійської та математики. 

Цей самовчитель познайомить вашу дитину з основами програмування і навчить двом найпоширенішим мовам - візуальній Scratch і текстовій Python. У книзі ви знайдете:

Описи можливостей програмних мов.
Прості інструкції зі створення ігор та анімації.
Численні поради та рекомендації від програмістів.
Корисну інформацію про будову комп'ютера.

Фішка книги
Багато талановитих програмістів починали свій шлях ще в дитинстві - зі створення простих ігор. Це цікаво і зрозуміло дитині. Саме тому автори цього самовчителя пропонують прості проєкти ігор та анімації, виконуючи які, дитина вчитиметься програмувати.

Чому ми вирішили видати цю книжку
Ми живемо в цифрову епоху. І якщо ви хочете, щоб ваша дитина була успішною і знайшла себе в майбутньому, допоможіть їй ? вчіть програмування вже зараз. І навіть якщо вона не обере кар'єру програміста, ці заняття допоможуть їй розвинути логіку, навчать мислити аналітично та знаходити розв'язки непростих завдань.

Для кого ця книжка
Для дітей від 8 років, які хочуть навчитися програмувати.
Для батьків, які хочуть показати дітям можливості комп'ютера.
Для вчителів. Цю книжку можна використовувати на заняттях.

Для батьків
Програми Scratch і Python можна безплатно завантажити та встановити на будь-який комп'ютер. Рекомендуємо вам встановлювати англійські версії програм. Ми спеціально не адаптували видання до російських версій (хоча вони є). Професійні програмісти мають знати англійську мову, тому нехай дитина вчиться програмувати англійською від самого початку.

Від авторів
Зовсім недавно комп'ютерне програмування здавалося таємничим ремеслом, долею фахівців. Думка про те, що програмування може бути захопливим заняттям для кожного, більшості людей і на думку не спадала. Але світ змінився. Інтернет, електронна пошта, соціальні мережі, смартфони та мобільні додатки, ураганом влетівши в наше життя, змінили його всього за кілька років. 
Комп'ютери займають дуже важливе місце в сучасному світі, і ми приймаємо це як належне. Ми охоче поглинаємо будь-які плоди комп'ютеризації - від інтернет-шопінгу та розваг до новин та ігор. Однак ми можемо не лише використовувати ці технології - навчившись програмувати, ми можемо розвивати їх, створювати власні витвори цифрового мистецтва.
Багато хто вважає, що програмування - одне з найважливіших у ХХ столітті вмінь. 
Вчитися програмувати дуже цікаво, адже ти можеш отримати результати одразу ж, і не важливо, скільки ще матеріалу належить вивчити. Ба більше, створення ігор і програм - таке захопливе заняття, що дуже скоро здасться, ніби це майже не потребує зусиль. Це чудова можливість для творчості, напевно, перша галузь науки, що поєднує мистецтво, логіку, творчість і бізнес. 
Крім того, вміння програмувати дуже знадобиться в житті. Воно розвиває логіку та інтелект, які важливі в найрізноманітніших галузях - від науки та інженерної справи до медицини та юриспруденції. Кількість вакансій, де потрібне вміння програмувати, з часом тільки зростатиме, причому хороших програмістів не вистачає вже зараз. Навчися програмування - і цифровий світ буде відкритий для тебе!",2015,224,5,1989-04-08T20:26:27.000Z,1,2,0
13,9785789393956,Exploring Arduino: Tools and Techniques for Engineering Wizardry,Джереми Блум,"Читач пройде шлях від основ цифрової логіки, булевої алгебри до програмування мікроконтролерів і створення на них практичних пристроїв. 

У книзі детально розглядаються принципи роботи мікропроцесорної системи, архітектура побудови мікроконтролерів сімейства AVR, що становить основу модулів Arduino. Саме на них виконано всі пристрої, на базі яких триває навчання. Модуль Arduino виявився настільки вдалою розробкою, що сьогодні визнаний ідеальною основою для вивчення мікроконтролерної техніки.

Основною частиною книги є практичний курс зі схемотехніки та програмування, що складається з 15 практичних уроків. Для кожного уроку автор спеціально розробив реальний пристрій на основі модуля Arduino. Переходячи послідовно від простого до складного, читач навчиться писати програми, а також опанує мистецтво схемотехніки.

Одночасно на тих самих прикладах йде вивчення мови програмування Arduino. Усі функції, оператори та інші елементи цієї мови детально описуються перед тим, як про них йтиметься під час опису конкретної програми.

Неоціненну допомогу у вивченні надає віртуальний диск, що містить інструментальні програми, додаткові бібліотеки для Arduino, відеопрезентації та повний набір Arduino-скетчів із книжки в електронному вигляді та багато іншого.

Книгу створено спеціально для початківців-конструкторів мікроконтролерної техніки, студентів і всіх, хто хоче досконально вивчити секрети і премудрості мікроелектроніки.",2018,480,3,1992-01-15T19:47:35.000Z,0,0,0
14,9782036699670,Программирование микроконтроллеров для начинающих и не только,А. Белов,"Ви хочете навчитися розробляти самостійно цікаві пристрої на мікроконтролерах? Хочете легко навчитися придумувати схеми і писати програми? Тоді ця книга для вас! Новітній самовчитель дасть змогу впевнено пройти шлях від рівня, що дістав влучну назву чайник, до цілком готового фахівця, який вміє самостійно розробляти готові працездатні мікроелектронні пристрої. Процес освоєння починається з азів цифрової техніки (базові елементи цифрової логіки, теорія цифрового сигналу, основи Булевої Алгебри, системи числення тощо). Йдучи поступово від простого до складного, ви вивчите основи мікропроцесорної техніки, можливості сімейства мікроконтролерів на прикладі AVR. Ну і, нарешті, ви освоїте основи схемотехніки та конструювання мікроелектронних пристроїв. Книга дасть змогу вивчити одразу дві мови програмування для мікроконтролерів (мова Асемблера і мова СІ). Навчить транслювати, налагоджувати програми, прошивати їх у пам'ять мікроконтролера,...",2016,352,1,2004-04-07T01:00:58.000Z,0,0,0
15,9781067866433,The Internet of Things,Сэмюэл Грингард,"Уявіть: ви сідаєте в машину, берете в руки книжку і вирушаєте в дорогу. Вам не потрібно керувати машиною - вона керує собою сама. Вам навіть не потрібно говорити їй, куди їхати, тому що вона вже звірилася з вашим щоденником, а він, своєю чергою, сам себе заповнив, перевіривши вашу пошту й електронний план тренувань. Автомобіль везе вас не в магазин (бо дрони вже доставили продукти до вашого холодильника, який ще минулого тижня сам відправив заявку в інтернет-магазин), і не на роботу (потреба в офісі давно відпала), а, скажімо, в оперу. Такий світ пропонує нам Інтернет речей.

Здається, що це фантастика, проте всі необхідні технології вже існують і виходять у серійне виробництво. Це означає, що ідилічна реальність Інтернету речей - питання найближчого майбутнього. І в цього майбутнього є зворотний бік: хвиля комп'ютерних злочинів, кібертероризму та мережевої зброї, тотальне стеження і втрата контролю над власним життям і навколишнім світом.

Семюел Грінгард пропонує, не відкладаючи, вирушити в майбутнє і поміркувати над важливими питаннями, відповіді на які нам незабаром будуть буквально життєво необхідні. 

Чому книга ""Інтернет речей: Майбутнє вже тут"" гідна прочитання

Інтернет речей - головний тренд поточного часу.
Автор розповідає, як усе розвиватиметься найближчими роками, і допомагає розібратися з перевагами та загрозами, які Інтернет речей у собі приховує.
Книга написана на замовлення Массачусетського технологічного інституту.",2017,188,3,2001-08-26T00:06:25.000Z,0,0,0
16,9787715098133,Sketching User Experiences: The Workbook,Сет Гринберг,"Досвід роботи зі скетчингом: Посібник містить інформацію про поетапний процес різних технік скетчингу. Він пропонує методи, які називаються дизайн-мисленням, як спосіб мислення користувача, і скетчингом, як спосіб мислення дизайнера. Дизайнери користувацького досвіду - це дизайнери, які створюють ескізи на основі своїх дій, взаємодій та досвіду. У книзі обговорюються відмінності між звичайними способами скетчингу та скетчингом, що використовується дизайнерами, орієнтованими на користувацький досвід. Вона також описує деякі мотиви, чому людина повинна робити скетчі, і знайомить зі скетчбуком. У книзі розглядаються різні методи скетчингу та модулі, які містять певний метод скетчингу. Вона також пояснює, як використовуються методи скетчингу. Читачі, які зацікавлені у вивченні, розумінні, практиці та викладанні дизайну, інформаційного дизайну, дизайну інтерфейсів та інформаційної архітектури, знайдуть цю книгу корисною для себе.
Містить окремі модулі з детальним описом методів і вправ для практиків, які хочуть навчитися і розвинути свої навички скетчингу
Надзвичайно практичний, з ілюстрованими прикладами, що детально описують усі кроки виконання того чи іншого методу
Чудово підходить для індивідуального навчання, для занять в аудиторії та для команди, яка хоче розвивати культуру дизайнерської практики
Ідеальне доповнення до Buxton's Sketching User Experience або будь-якого UX тексту",2011,272,1,1980-10-14T13:16:52.000Z,0,0,0
17,9788817709538,InDesign CS6,Александр Сераков,"Нова версія програми InDesign CS6 принесла і нові можливості. Але ними, як і тими, що були в більш ранніх версіях програми, треба вміти користуватися. І, прочитавши цю книгу, ви зможете це робити повною мірою. Описані в книзі приклади і методи допоможуть вам вирішувати свої власні завдання, а досвід, накопичений авторами за довгі роки роботи з InDesign, стане відмінною підмогою для досягнення поставлених цілей.",2013,208,3,2023-05-11T01:09:38.000Z,0,16,0
18,9782843446191,Адаптивный дизайн. Делаем сайты для любых устройств,Тим Кедлек,"Нові пристрої та платформи з'являються щодня. У розробників мобільних застосунків і сайтів існує реальна проблема: як коректно і якісно відобразити весь контент на екрані будь-якого розміру і співвідношення сторін. Для вирішення цього завдання призначений адаптивний веб-дизайн. Метою адаптивного веб-дизайну є створення універсальних веб-сайтів і додатків для різних пристроїв.

Для того, щоб із веб-сайтом або застосунком було зручно працювати на пристроях із різною роздільною здатністю та різного формату, за технологією адаптивного дизайну не потрібно створювати окремі версії для кожного виду пристроїв. Неважливо, що буде використовуватися для перегляду сайту: смартфон, планшет, ноутбук або телевізор, підключений до Інтернету.

Книжка Тіма Кедлека, відомого фахівця в галузі веб-дизайну, розповідає, як грамотно створити сайт з використанням ""гумової верстки"" модулів media queries і fluid media, як від самого початку правильно організувати робочий процес створення сайту в адаптивному дизайні та як враховувати особливості різних пристроїв.",2013,288,5,2010-03-23T01:24:12.000Z,0,0,0
19,9782786525809,Android для разработчиков,"Пол Дейтел, Харви Дейтел","Ласкаво просимо в динамічний світ розробки додатків для смартфонів і планшетів Android з використанням Android Software Development Kit (SDK), мови програмування JavaTM, а також нової і стрімко розвивається середовища розробки Android Studio. В основі книги лежить принцип розробки, орієнтованої на додатки, - концепції показано на прикладі повністю працездатних додатків Android, а не фрагментів коду. Понад мільйон людей уже скористалися книжками Дейтелов, щоб освоїти Java, C#, C++, C, JavaScript, XML, Visual Basic, Visual C++, Perl, Python та інші мови програмування. Третє видання цієї книжки дасть вам змогу не тільки розпочати розробку застосунків для Android, а й швидко опублікувати їх у Google Play. Третє видання книги було повністю оновлено і познайомить вас з можливостями Android 6 і Android Studio.",2016,512,2,2006-12-11T03:11:49.000Z,0,0,0
20,9780828790611,Clean Code: A Handbook of Agile Software Craftsmanship,Роберт Мартин,"Навіть поганий програмний код може працювати. Однак якщо код не є ""чистим"", це завжди заважатиме розвитку проєкту та компанії-розробника, забираючи значні ресурси на його підтримку та ""приборкання"". Ця книжка присвячена хорошому програмуванню. Вона сповнена реальних прикладів коду. Ми розглядатимемо код з різних напрямків: зверху вниз, знизу вгору і навіть зсередини. Прочитавши книгу, ви дізнаєтеся багато нового про код. Ба більше, ви навчитеся відрізняти хороший код від поганого. Ви дізнаєтеся, як писати хороший код і як перетворити поганий код на хороший. Книга складається з трьох частин. У першій частині викладаються принципи, патерни і прийоми написання чистого коду; наводиться великий обсяг прикладів коду. Друга частина складається з практичних сценаріїв наростаючої складності. Кожен сценарій являє собою вправу з чищення коду або перетворення проблемного коду в код з меншою кількістю проблем. Третя частина книги - концентроване вираження її суті. Вона складається з одного розділу з переліком евристичних правил і ""запахів коду"", зібраних під час аналізу. Ця частина являє собою базу знань, що описує наш шлях мислення в процесі читання, написання і чищення коду.",2013,464,3,1979-06-02T02:11:35.000Z,0,0,0
